user,poems
1836,"[195, 7803, 86, 124, 117, 5344, 158, 8315, 549, 2008, 5675, 7040, 681, 612, 6974, 2690, 11414, 13352, 6747, 7226, 10366, 2166, 1230, 13918, 1330, 1263, 4594, 115, 110, 2098, 2618, 2512, 4604, 227, 14817, 10527, 953, 14053, 743, 6914, 2439, 91, 1900, 925, 100, 5218, 62, 914, 14366, 11693, 12372, 6744, 14002, 14688, 112, 10270, 8317, 9685, 14041, 13825, 9686, 4017, 295, 7223, 8124, 2188, 1258, 8822, 5245, 179, 3313]"
1846,"[5391, 9646]"
1858,[15028]
1866,"[138, 136, 4737]"
1868,"[1242, 8626, 6836]"
1875,"[681, 6974, 14849, 319, 14376, 1242, 189, 1676, 29391, 19922, 13054, 112, 194, 17227, 2290, 28436, 4214, 30448, 25912]"
1880,[22255]
1886,"[5399, 5401, 5390]"
1899,"[13026, 13024]"
1901,[183]
1905,[134]
1910,[10814]
1911,[7818]
1928,[142]
1934,[3896]
1936,"[15072, 37767]"
1939,[24104]
1944,"[10798, 7439, 4827, 35986, 31252, 39515, 40711]"
1945,[13253]
1947,[1242]
1953,[9784]
1967,[3927]
1971,[5641]
1978,[8104]
1979,[546]
1990,[4250]
1994,"[10518, 1291, 182, 41880, 21486, 14243, 71, 1175, 9808, 42593, 20701, 59]"
1999,[14636]
2016,"[2098, 2439, 193]"
2018,"[6431, 129]"
2021,[15290]
2030,"[2250, 9646]"
2047,"[184, 914, 9292]"
2052,[9527]
2058,"[1242, 9784, 14329, 2618, 15217, 15293, 53, 804, 10380, 12797, 3893]"
2066,"[3656, 338, 2599, 142, 1412, 14, 430, 12, 4401, 13, 812, 38, 801, 809, 813, 195, 4594, 2684, 5715, 5705, 2690, 17183, 129, 1367, 1362, 3338, 3349, 1747, 5238, 12827, 110, 228, 70, 1185, 770, 889, 93, 4438, 114, 152, 1009]"
2068,"[811, 5411, 4459, 182, 15890]"
2069,"[64, 20531]"
2071,"[148, 146, 4363, 30, 2163, 185, 4019, 2121, 16661, 193, 338, 8094, 6615, 183]"
2076,"[6968, 6980, 9798, 6328, 6000, 24314, 15131]"
2079,[16509]
2081,"[8446, 12921, 100, 2510, 2509, 34259, 22, 749, 9076, 16018, 6980, 2145, 139, 11104, 1243, 2374, 22660, 4440, 15800, 29, 4347, 4105, 4370, 11413, 36091, 39717, 17877, 2345, 6107, 15161, 10305, 5224, 15217, 22430, 1948, 338, 103, 85, 550, 230, 97, 7350, 319, 5807, 4577, 4592, 783, 4330, 9033, 2036, 6078, 4049, 1833, 1829, 1844, 2035, 71, 1182, 1120, 1169, 1152, 2585, 4436, 2120, 2026, 430, 4417, 13, 16466, 5097, 16537, 5877, 2163, 6108, 1774, 22483, 1419, 1411, 15540, 322, 203, 4157, 15292, 2130, 11915, 1814, 3661, 38373, 43, 189, 39363, 39407, 9501, 21757, 21099, 25464, 92, 509, 38442, 2208, 2131, 39328, 27536, 5683, 9217, 39676, 2152, 205, 510, 39760, 38271, 4141, 2393, 20170, 38152, 32979, 4860, 24294, 4099, 214, 40052, 2436, 1822, 158, 9494, 3667, 114, 18, 4438, 892, 41840, 15005, 39507, 39337, 39007, 2038, 213, 28488, 39278, 39478, 39633, 7137, 39440, 39759, 38729, 39919, 39968, 40041, 40051, 40043, 40081, 40082, 40093, 40100, 40102, 40107, 40114, 40122, 40118, 40116, 38242, 37886, 40130, 40142, 14883, 40184, 15696, 40268, 14, 40304, 40303, 19151, 19182]"
2083,[4707]
2084,"[2513, 83, 84, 6974, 4016]"
2085,"[2920, 2340, 28945]"
2090,"[4716, 1336]"
2093,[32240]
2103,[139]
2132,[8530]
2155,[15216]
2158,"[768, 4227, 4226, 4231, 4230, 4232, 9571, 5193, 24781, 99]"
2173,"[13041, 13044, 12874, 21004]"
2187,"[13226, 3875]"
2192,"[186, 12809, 14779, 5676, 9955, 11090]"
2213,[4454]
2216,[2089]
2223,"[2507, 3336, 3316, 2005]"
2230,[9501]
2236,"[11145, 4609, 62, 7321, 3324, 9507]"
2248,"[9784, 1420]"
2268,[142]
2272,[6817]
2286,"[2462, 14547, 14148, 2532, 2534, 2564, 14061]"
2288,[2920]
2293,"[38, 787, 15446, 891, 1242, 781]"
2296,"[1091, 11762]"
2300,"[9632, 16]"
2307,"[3358, 1422, 5227]"
2338,"[11619, 7815, 8547, 10840, 10172, 12809, 12788, 338, 5218, 186, 8443, 1276]"
2343,"[22796, 24732, 2096]"
2354,[11789]
2366,[14280]
2367,[4455]
2372,[16011]
2375,"[5124, 1009, 904, 26587, 195, 5231, 9146, 29032, 6449, 29590, 29283, 29288, 32810, 1130, 44469, 69, 23430, 48262, 2310, 6253, 1116, 70, 2319, 48271, 50698, 32978, 32975, 3776, 43955, 9160, 7484, 41346, 83]"
2384,[28351]
2386,[4432]
2390,"[5675, 129, 8348]"
2394,[12656]
2400,[41880]
2406,"[15840, 15849, 5873, 11958, 15850, 5868, 15798, 16164]"
2416,[1412]
2421,"[9799, 1242, 15154, 10380, 9784]"
2424,[15840]
2431,[10764]
2432,"[4639, 11783, 755]"
2443,[925]
2447,[1217]
2450,[53]
2452,[4992]
2456,[1849]
2460,"[4222, 39689, 12]"
2463,"[15527, 4718, 4721, 23067, 5468]"
2465,[5108]
2466,[53]
2470,"[8292, 8530, 704]"
2473,"[15926, 15930, 15929]"
2477,"[15930, 15976, 15926, 15988, 15921, 15977, 15961, 15925, 15929, 15923]"
2481,[3359]
2488,"[15926, 15988, 15930, 15976, 15922, 15923, 15921]"
2489,"[29978, 6454, 29949, 29959, 29973, 30005, 30265, 30433, 30872, 30972, 38856, 41880, 42310, 42315, 42316, 42359, 42361, 42364, 42380, 42391, 42426, 42429, 42395, 42445, 10082, 42515, 42592, 42681, 42817, 7252, 31385]"
2503,[20737]
